"Apartamento en Arriendo, CAPELLANIA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-capellania-3-habitaciones-2-banos-1-garajes/382-376,$1.220.000,68.0 m2,-74.12697318,4.67124732
"Apartamento en Arriendo, BOSQUE POPULAR Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-popular-3-habitaciones-2-banos-1-garajes/34-57017,$1.300.000,115.0 m2,-74.09930457,4.67146404
"Apartamento en Arriendo, BOSQUE CALDERON Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-calderon-3-habitaciones-2-banos-1-garajes/526-3571541,$3.200.000,160.0 m2,-74.05904427,4.6419215
"Apartamento en Arriendo, PAULO VI Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-paulo-vi-3-habitaciones-2-banos-2-garajes/416-54032,$1.850.000,87.0 m2,-74.09025996,4.65111258
"Apartamento en Arriendo, BOSQUE CALDERON Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-calderon-3-habitaciones-2-banos-1-garajes/526-357151,$3.200.000,160.0 m2,-74.05904427,4.6419215
"Apartamento en Arriendo, SAMPER Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-samper-1-habitaciones-2-banos-1-garajes/526-396022,$1.800.000,44.0 m2,-74.07058931,4.61641237
"Apartamento en Arriendo, BOSQUE CALDERON Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-calderon-3-habitaciones-2-banos-1-garajes/526-357154,$3.200.000,160.0 m2,-74.05904427,4.6419215
"Apartamento en Arriendo, SANTA BARBARA CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-1-habitaciones-1-banos-1-garajes/293-21903,$1.300.000,49.0 m2,-74.03521538,4.69472597
"Apartamento en Arriendo, CASA BLANCA SUBA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-casa-blanca-suba-3-habitaciones-2-banos-1-garajes/293-21904,$2.300.000,99.0 m2,-74.07037167,4.75641205
"Apartamento en Arriendo, FLORENCIA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-florencia-2-habitaciones-1-banos/864-1479,$750.000,43.0 m2,-74.11265028,4.70117977
"Apartamento en Arriendo, SAMPER Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-samper-1-habitaciones-2-banos-1-garajes/526-396021,$1.800.000,44.0 m2,-74.07058931,4.61641237
"Apartamento en Arriendo, RINCON DEL CHICO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-rincon-del-chico-3-habitaciones-3-banos-2-garajes/5082-1192,$2.387.000,120.0 m2,-74.0452312,4.68602668
"Apartamento en Arriendo, CHAPINERO CENTRAL Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chapinero-central-1-habitaciones-1-banos-1-garajes/3699-1,$1.400.000,40.0 m2,-74.0634764,4.64093415
"Apartamento en Arriendo, NORMANDIA Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-normandia-3-habitaciones-3-banos-1-garajes/183-12457,$2.000.000,160.0 m2,-74.10491004,4.67183648
"Apartamento en Arriendo, BALCARES Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-balcares-1-habitaciones-2-banos-1-garajes/639-M3243,$900.000,65.0 m2,-74.12811923,4.66382847
"Apartamento en Arriendo, PUENTE LARGO Bogotá D.C..",http://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-puente-largo-2-habitaciones-3-banos-2-garajes/ATI-490686,$4.000.000,220.0 m2,-74.06338293,4.69610343
